x,y,station_id,ANIO,SEMANA,huevos,TMAX,TMIN,PRECIP,EVAP,dist_km
-89.55997467,20.96878624,31095,2024,35,29,39,23.28571429,3.714285714,4.738333333,2.973657416
-89.55997467,20.96878624,31095,2024,38,29,37.42857143,21.64285714,6.5,6.031428571,2.973657416
-89.55997467,20.96878624,31095,2024,37,63,37.21428571,23,2.985714286,4.188333333,2.973657416
-89.55997467,20.96878624,31095,2024,36,58,35.85714286,22.14285714,11.32857143,4.386,2.973657416
-89.56012726,20.96839142,31095,2024,35,17,39,23.28571429,3.714285714,4.738333333,2.985720896
-89.56012726,20.96839142,31095,2024,38,18,37.42857143,21.64285714,6.5,6.031428571,2.985720896
-89.56012726,20.96839142,31095,2024,36,42,35.85714286,22.14285714,11.32857143,4.386,2.985720896
-89.56012726,20.96839142,31095,2024,37,24,37.21428571,23,2.985714286,4.188333333,2.985720896
-89.56070709,20.96830559,31095,2024,35,20,39,23.28571429,3.714285714,4.738333333,2.942374909
-89.56070709,20.96830559,31095,2024,36,3,35.85714286,22.14285714,11.32857143,4.386,2.942374909
-89.56070709,20.96830559,31095,2024,38,29,37.42857143,21.64285714,6.5,6.031428571,2.942374909
-89.56070709,20.96830559,31095,2024,37,16,37.21428571,23,2.985714286,4.188333333,2.942374909
-89.5604248,20.96894646,31095,2024,35,15,39,23.28571429,3.714285714,4.738333333,2.925049295
-89.5604248,20.96894646,31095,2024,38,15,37.42857143,21.64285714,6.5,6.031428571,2.925049295
-89.5604248,20.96894646,31095,2024,37,29,37.21428571,23,2.985714286,4.188333333,2.925049295
-89.5604248,20.96894646,31095,2024,36,82,35.85714286,22.14285714,11.32857143,4.386,2.925049295
-89.5655899,20.96729279,31095,2024,37,0,37.21428571,23,2.985714286,4.188333333,2.628010656
-89.5655899,20.96729279,31095,2024,36,0,35.85714286,22.14285714,11.32857143,4.386,2.628010656
-89.56498718,20.96825409,31095,2024,36,0,35.85714286,22.14285714,11.32857143,4.386,2.600271936
-89.56498718,20.96825409,31095,2024,37,0,37.21428571,23,2.985714286,4.188333333,2.600271936
-89.56481934,20.9674263,31095,2024,36,0,35.85714286,22.14285714,11.32857143,4.386,2.675379196
-89.56481934,20.9674263,31095,2024,37,0,37.21428571,23,2.985714286,4.188333333,2.675379196
-89.56491089,20.96653748,31095,2024,36,0,35.85714286,22.14285714,11.32857143,4.386,2.737203459
-89.56491089,20.96653748,31095,2024,37,0,37.21428571,23,2.985714286,4.188333333,2.737203459
-89.56288147,20.96823311,31095,2024,35,8,39,23.28571429,3.714285714,4.738333333,2.768180628
-89.56288147,20.96823311,31095,2024,38,53,37.42857143,21.64285714,6.5,6.031428571,2.768180628
-89.56288147,20.96823311,31095,2024,37,11,37.21428571,23,2.985714286,4.188333333,2.768180628
-89.56288147,20.96823311,31095,2024,36,15,35.85714286,22.14285714,11.32857143,4.386,2.768180628
-89.56260681,20.96867752,31095,2024,35,12,39,23.28571429,3.714285714,4.738333333,2.759848244
-89.56260681,20.96867752,31095,2024,38,42,37.42857143,21.64285714,6.5,6.031428571,2.759848244
-89.56260681,20.96867752,31095,2024,37,21,37.21428571,23,2.985714286,4.188333333,2.759848244
-89.56260681,20.96867752,31095,2024,36,4,35.85714286,22.14285714,11.32857143,4.386,2.759848244
-89.56238556,20.9679985,31095,2024,35,31,39,23.28571429,3.714285714,4.738333333,2.824645699
-89.56238556,20.9679985,31095,2024,38,19,37.42857143,21.64285714,6.5,6.031428571,2.824645699
-89.56238556,20.9679985,31095,2024,36,39,35.85714286,22.14285714,11.32857143,4.386,2.824645699
-89.56238556,20.9679985,31095,2024,37,12,37.21428571,23,2.985714286,4.188333333,2.824645699
-89.56252289,20.96866035,31095,2024,35,27,39,23.28571429,3.714285714,4.738333333,2.767906014
-89.56252289,20.96866035,31095,2024,38,24,37.42857143,21.64285714,6.5,6.031428571,2.767906014
-89.56252289,20.96866035,31095,2024,36,21,35.85714286,22.14285714,11.32857143,4.386,2.767906014
-89.56252289,20.96866035,31095,2024,37,19,37.21428571,23,2.985714286,4.188333333,2.767906014
-89.56533051,20.957798,31095,2024,35,29,39,23.28571429,3.714285714,4.738333333,3.466915848
-89.56533051,20.957798,31095,2024,37,35,37.21428571,23,2.985714286,4.188333333,3.466915848
-89.56533051,20.957798,31095,2024,36,10,35.85714286,22.14285714,11.32857143,4.386,3.466915848
-89.56533051,20.957798,31095,2024,38,24,37.42857143,21.64285714,6.5,6.031428571,3.466915848
-89.56536865,20.95866776,31095,2024,35,19,39,23.28571429,3.714285714,4.738333333,3.384177808
-89.56536865,20.95866776,31095,2024,38,88,37.42857143,21.64285714,6.5,6.031428571,3.384177808
-89.56536865,20.95866776,31095,2024,37,49,37.21428571,23,2.985714286,4.188333333,3.384177808
-89.56536865,20.95866776,31095,2024,36,9,35.85714286,22.14285714,11.32857143,4.386,3.384177808
-89.56571198,20.95876122,31095,2024,35,127,39,23.28571429,3.714285714,4.738333333,3.355697972
-89.56571198,20.95876122,31095,2024,38,51,37.42857143,21.64285714,6.5,6.031428571,3.355697972
-89.56571198,20.95876122,31095,2024,36,36,35.85714286,22.14285714,11.32857143,4.386,3.355697972
-89.56571198,20.95876122,31095,2024,37,41,37.21428571,23,2.985714286,4.188333333,3.355697972
-89.56594086,20.95797157,31095,2024,35,11,39,23.28571429,3.714285714,4.738333333,3.416333544
-89.56594086,20.95797157,31095,2024,38,31,37.42857143,21.64285714,6.5,6.031428571,3.416333544
-89.56594086,20.95797157,31095,2024,36,17,35.85714286,22.14285714,11.32857143,4.386,3.416333544
-89.56594086,20.95797157,31095,2024,37,10,37.21428571,23,2.985714286,4.188333333,3.416333544
-89.56163025,20.96242905,31095,2024,35,12,39,23.28571429,3.714285714,4.738333333,3.301916729
-89.56163025,20.96242905,31095,2024,38,28,37.42857143,21.64285714,6.5,6.031428571,3.301916729
-89.56163025,20.96242905,31095,2024,37,19,37.21428571,23,2.985714286,4.188333333,3.301916729
-89.56163025,20.96242905,31095,2024,36,21,35.85714286,22.14285714,11.32857143,4.386,3.301916729
-89.56139374,20.96290207,31095,2024,35,20,39,23.28571429,3.714285714,4.738333333,3.28132171
-89.56139374,20.96290207,31095,2024,37,40,37.21428571,23,2.985714286,4.188333333,3.28132171
-89.56139374,20.96290207,31095,2024,36,14,35.85714286,22.14285714,11.32857143,4.386,3.28132171
-89.56139374,20.96290207,31095,2024,38,32,37.42857143,21.64285714,6.5,6.031428571,3.28132171
-89.56097412,20.96254921,31095,2024,35,12,39,23.28571429,3.714285714,4.738333333,3.339858023
-89.56097412,20.96254921,31095,2024,38,9,37.42857143,21.64285714,6.5,6.031428571,3.339858023
-89.56097412,20.96254921,31095,2024,36,12,35.85714286,22.14285714,11.32857143,4.386,3.339858023
-89.56097412,20.96254921,31095,2024,37,31,37.21428571,23,2.985714286,4.188333333,3.339858023
-89.56096649,20.96232224,31095,2024,35,27,39,23.28571429,3.714285714,4.738333333,3.358391951
-89.56096649,20.96232224,31095,2024,38,24,37.42857143,21.64285714,6.5,6.031428571,3.358391951
-89.56096649,20.96232224,31095,2024,36,20,35.85714286,22.14285714,11.32857143,4.386,3.358391951
-89.56096649,20.96232224,31095,2024,37,29,37.21428571,23,2.985714286,4.188333333,3.358391951
-89.56046295,20.96014214,31095,2024,35,17,39,23.28571429,3.714285714,4.738333333,3.570560851
-89.56046295,20.96014214,31095,2024,38,53,37.42857143,21.64285714,6.5,6.031428571,3.570560851
-89.56046295,20.96014214,31095,2024,36,33,35.85714286,22.14285714,11.32857143,4.386,3.570560851
-89.56046295,20.96014214,31095,2024,37,45,37.21428571,23,2.985714286,4.188333333,3.570560851
-89.56086731,20.96000481,31095,2024,35,29,39,23.28571429,3.714285714,4.738333333,3.553834182
-89.56086731,20.96000481,31095,2024,37,27,37.21428571,23,2.985714286,4.188333333,3.553834182
-89.56086731,20.96000481,31095,2024,36,25,35.85714286,22.14285714,11.32857143,4.386,3.553834182
-89.56086731,20.96000481,31095,2024,38,72,37.42857143,21.64285714,6.5,6.031428571,3.553834182
-89.56073761,20.96059799,31095,2024,35,42,39,23.28571429,3.714285714,4.738333333,3.513900861
-89.56073761,20.96059799,31095,2024,38,41,37.42857143,21.64285714,6.5,6.031428571,3.513900861
-89.56073761,20.96059799,31095,2024,36,31,35.85714286,22.14285714,11.32857143,4.386,3.513900861
-89.56073761,20.96059799,31095,2024,37,62,37.21428571,23,2.985714286,4.188333333,3.513900861
-89.56041718,20.96035004,31095,2024,35,28,39,23.28571429,3.714285714,4.738333333,3.556714104
-89.56041718,20.96035004,31095,2024,38,28,37.42857143,21.64285714,6.5,6.031428571,3.556714104
-89.56041718,20.96035004,31095,2024,37,19,37.21428571,23,2.985714286,4.188333333,3.556714104
-89.56041718,20.96035004,31095,2024,36,88,35.85714286,22.14285714,11.32857143,4.386,3.556714104
-89.56340027,20.96139717,31095,2024,35,32,39,23.28571429,3.714285714,4.738333333,3.264716328
-89.56340027,20.96139717,31095,2024,38,36,37.42857143,21.64285714,6.5,6.031428571,3.264716328
-89.56340027,20.96139717,31095,2024,37,56,37.21428571,23,2.985714286,4.188333333,3.264716328
-89.56340027,20.96139717,31095,2024,36,17,35.85714286,22.14285714,11.32857143,4.386,3.264716328
-89.56295776,20.96146202,31095,2024,35,26,39,23.28571429,3.714285714,4.738333333,3.288964778
-89.56295776,20.96146202,31095,2024,37,39,37.21428571,23,2.985714286,4.188333333,3.288964778
-89.56295776,20.96146202,31095,2024,36,8,35.85714286,22.14285714,11.32857143,4.386,3.288964778
-89.56295776,20.96146202,31095,2024,38,19,37.42857143,21.64285714,6.5,6.031428571,3.288964778
-89.56368256,20.96096992,31095,2024,35,37,39,23.28571429,3.714285714,4.738333333,3.282700559
-89.56368256,20.96096992,31095,2024,38,32,37.42857143,21.64285714,6.5,6.031428571,3.282700559
-89.56368256,20.96096992,31095,2024,37,21,37.21428571,23,2.985714286,4.188333333,3.282700559
-89.56368256,20.96096992,31095,2024,36,28,35.85714286,22.14285714,11.32857143,4.386,3.282700559
-89.56317902,20.96076584,31095,2024,35,12,39,23.28571429,3.714285714,4.738333333,3.333376959
-89.56317902,20.96076584,31095,2024,38,21,37.42857143,21.64285714,6.5,6.031428571,3.333376959
-89.56317902,20.96076584,31095,2024,36,15,35.85714286,22.14285714,11.32857143,4.386,3.333376959
-89.56317902,20.96076584,31095,2024,37,25,37.21428571,23,2.985714286,4.188333333,3.333376959
-89.56446075,20.95754623,31095,2024,35,47,39,23.28571429,3.714285714,4.738333333,3.540297095
-89.56446075,20.95754623,31095,2024,36,19,35.85714286,22.14285714,11.32857143,4.386,3.540297095
-89.56446075,20.95754623,31095,2024,37,26,37.21428571,23,2.985714286,4.188333333,3.540297095
-89.56446075,20.95754623,31095,2024,38,72,37.42857143,21.64285714,6.5,6.031428571,3.540297095
-89.56424713,20.95837593,31095,2024,35,29,39,23.28571429,3.714285714,4.738333333,3.477126534
-89.56424713,20.95837593,31095,2024,38,19,37.42857143,21.64285714,6.5,6.031428571,3.477126534
-89.56424713,20.95837593,31095,2024,37,12,37.21428571,23,2.985714286,4.188333333,3.477126534
-89.56424713,20.95837593,31095,2024,36,193,35.85714286,22.14285714,11.32857143,4.386,3.477126534
-89.56380463,20.95825958,31095,2024,35,21,39,23.28571429,3.714285714,4.738333333,3.514376724
-89.56380463,20.95825958,31095,2024,38,14,37.42857143,21.64285714,6.5,6.031428571,3.514376724
-89.56380463,20.95825958,31095,2024,36,12,35.85714286,22.14285714,11.32857143,4.386,3.514376724
-89.56380463,20.95825958,31095,2024,37,48,37.21428571,23,2.985714286,4.188333333,3.514376724
-89.56403351,20.95742226,31095,2024,35,17,39,23.28571429,3.714285714,4.738333333,3.576735612
-89.56403351,20.95742226,31095,2024,36,37,35.85714286,22.14285714,11.32857143,4.386,3.576735612
-89.56403351,20.95742226,31095,2024,37,27,37.21428571,23,2.985714286,4.188333333,3.576735612
-89.56403351,20.95742226,31095,2024,38,36,37.42857143,21.64285714,6.5,6.031428571,3.576735612
-89.56503296,20.96167564,31095,2024,35,72,39,23.28571429,3.714285714,4.738333333,3.133962442
-89.56503296,20.96167564,31095,2024,38,39,37.42857143,21.64285714,6.5,6.031428571,3.133962442
-89.56503296,20.96167564,31095,2024,36,47,35.85714286,22.14285714,11.32857143,4.386,3.133962442
-89.56503296,20.96167564,31095,2024,37,115,37.21428571,23,2.985714286,4.188333333,3.133962442
-89.56570435,20.96130371,31095,2024,35,22,39,23.28571429,3.714285714,4.738333333,3.124688286
-89.56570435,20.96130371,31095,2024,36,19,35.85714286,22.14285714,11.32857143,4.386,3.124688286
-89.56570435,20.96130371,31095,2024,37,9,37.21428571,23,2.985714286,4.188333333,3.124688286
-89.56570435,20.96130371,31095,2024,38,19,37.42857143,21.64285714,6.5,6.031428571,3.124688286
-89.56627655,20.96142769,31095,2024,38,52,37.42857143,21.64285714,6.5,6.031428571,3.078511867
-89.56627655,20.96142769,31095,2024,36,11,35.85714286,22.14285714,11.32857143,4.386,3.078511867
-89.56627655,20.96142769,31095,2024,37,123,37.21428571,23,2.985714286,4.188333333,3.078511867
-89.56559753,20.96191216,31095,2024,35,93,39,23.28571429,3.714285714,4.738333333,3.077301213
-89.56559753,20.96191216,31095,2024,38,42,37.42857143,21.64285714,6.5,6.031428571,3.077301213
-89.56559753,20.96191216,31095,2024,36,19,35.85714286,22.14285714,11.32857143,4.386,3.077301213
-89.56559753,20.96191216,31095,2024,37,75,37.21428571,23,2.985714286,4.188333333,3.077301213
-89.56256104,20.95922661,31095,2024,35,28,39,23.28571429,3.714285714,4.738333333,3.506741908
-89.56256104,20.95922661,31095,2024,37,20,37.21428571,23,2.985714286,4.188333333,3.506741908
-89.56256104,20.95922661,31095,2024,36,47,35.85714286,22.14285714,11.32857143,4.386,3.506741908
-89.56259155,20.95861816,31095,2024,35,59,39,23.28571429,3.714285714,4.738333333,3.557957974
-89.56259155,20.95861816,31095,2024,38,36,37.42857143,21.64285714,6.5,6.031428571,3.557957974
-89.56259155,20.95861816,31095,2024,36,19,35.85714286,22.14285714,11.32857143,4.386,3.557957974
-89.56259155,20.95861816,31095,2024,37,14,37.21428571,23,2.985714286,4.188333333,3.557957974
-89.56220245,20.95816231,31095,2024,35,27,39,23.28571429,3.714285714,4.738333333,3.622774155
-89.56220245,20.95816231,31095,2024,37,22,37.21428571,23,2.985714286,4.188333333,3.622774155
-89.56220245,20.95816231,31095,2024,36,38,35.85714286,22.14285714,11.32857143,4.386,3.622774155
-89.56220245,20.95816231,31095,2024,38,24,37.42857143,21.64285714,6.5,6.031428571,3.622774155
-89.56166077,20.95888138,31095,2024,35,51,39,23.28571429,3.714285714,4.738333333,3.595358193
-89.56166077,20.95888138,31095,2024,38,75,37.42857143,21.64285714,6.5,6.031428571,3.595358193
